algoritmo;grupo_testes;atributos;layers;r2_validação;R²;treinamento (min);mst;mse;rmse;mae;mape;smape;geracoes;taxa_mutação;taxa_crossover;tamanho_população;
RANDOM SEARCH;algoritmos_evolutivos;28;0 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 ;"0,843295366";"0,723737495";"1151,093417";"0,042508652";"0,006661303";"0,081616804";"0,058051638";"0,172196389";"0,122392093";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;36;1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 1 ;"0,837705212";"0,747351955";"1154,0964";"0,042508652";"0,006898933";"0,083059813";"0,059750044";"0,183527275";"0,124792658";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;35;0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 ;"0,849883596";"0,682305878";"1162,1467";"0,042508652";"0,006381246";"0,079882701";"0,057904056";"0,168027526";"0,118589713";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;26;1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 ;"0,828019389";"0,713650284";"1154,942217";"0,042508652";"0,007310664";"0,085502421";"0,067016806";"0,176228281";"0,139485724";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;42;1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 1 0 ;"0,834308291";"0,738403417";"1261,712267";"0,042508652";"0,007043331";"0,083924556";"0,059673732";"0,165352771";"0,124045547";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;43;1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 1 ;"0,840877346";"0,710092829";"1244,780467";"0,042508652";"0,006764089";"0,082244085";"0,060305096";"0,169280253";"0,12375398";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;47;1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 ;"0,844056971";"0,753892708";"1313,257467";"0,042508652";"0,006628928";"0,081418228";"0,056411212";"0,165902739";"0,121216732";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;45;1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 ;"0,832500679";"0,734097393";"1269,638717";"0,042508652";"0,00712017";"0,084381102";"0,062356156";"0,174481763";"0,128581187";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;46;1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 ;"0,830623261";"0,713741143";"1278,840867";"0,042508652";"0,007199977";"0,084852677";"0,065080799";"0,172661326";"0,135276395";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;44;1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 ;"0,845019352";"0,75312154";"1300,75205";"0,042508652";"0,006588018";"0,081166609";"0,060925585";"0,164535715";"0,125487827";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;42;1 1 1 1 1 0 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 ;"0,834540437";"0,743482275";"1359,205667";"0,042508652";"0,007033463";"0,083865744";"0,064915685";"0,176272548";"0,130257424";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;46;1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 ;"0,837419916";"0,688213602";"1422,011783";"0,042508652";"0,00691106";"0,083132786";"0,063764171";"0,170325601";"0,13021637";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;47;1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 ;"0,82392376";"0,764986793";"1436,7835";"0,042508652";"0,007484764";"0,086514528";"0,065214567";"0,163046584";"0,132044574";20;"0,2";"0,6";100;
LAPPAS & YANNACOPOULOS;algoritmos_evolutivos;51;1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 0 ;"0,844891666";"0,627248169";"1471,186817";"0,042508652";"0,006593446";"0,081200038";"0,05726307";"0,167528834";"0,116844543";20;"0,2";"0,6";100;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,562095677";"0,543713932";0;"0,042508652";"0,018614722";"0,136435781";"0,10233296";"0,290106673";"0,196796865";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,518209855";"0,457444261";0;"0,042508652";"0,02048025";"0,143109222";"0,10806223";"0,292831472";"0,203830621";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,542525594";"0,544726207";0;"0,042508652";"0,01944662";"0,139451139";"0,105025101";"0,287813059";"0,199006576";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,525214529";"0,530860429";0;"0,042508652";"0,02018249";"0,142065092";"0,105738866";"0,291430017";"0,202603503";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,518946286";"0,435608072";0;"0,042508652";"0,020448945";"0,142999807";"0,103648054";"0,297688369";"0,196552842";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,532048512";"0,32839419";0;"0,042508652";"0,019891987";"0,141038955";"0,104964065";"0,275111799";"0,200352314";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,542645379";"0,544681412";0;"0,042508652";"0,019441528";"0,139432881";"0,105010749";"0,287776046";"0,198997464";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,585804492";"0,480395979";0;"0,042508652";"0,017606893";"0,132690967";"0,097520196";"0,246159361";"0,190553895";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,492923927";"0,432221954";0;"0,042508652";"0,02155512";"0,146816621";"0,109825696";"0,289675363";"0,207235979";0;0;0;0;
PCA;algoritmos_redutores_dimensionalidade;20;[];"0,522188105";"0,47253079";0;"0,042508652";"0,020311139";"0,142517155";"0,105276612";"0,293495753";"0,1982974";0;0;0;0;
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,496718747";"0,458840679";0;"0,042508652";"0,021393808";"0,146266222";"0,103529053";"0,304896731";"0,196495003";0;0;0;0;"{""nComponents"":50,""vizinhos"":20,""minDist"":0,05}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,445909573";"0,421431105";0;"0,042508652";"0,023553637";"0,153471942";"0,104403389";"0,320399905";"0,196649013";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,466601707";"0,396228243";0;"0,042508652";"0,022674042";"0,150579023";"0,106690905";"0,31709111";"0,198938784";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,482680366";"0,486822603";0;"0,042508652";"0,02199056";"0,148292145";"0,10565354";"0,307969362";"0,201111874";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,491250071";"0,47298483";0;"0,042508652";"0,021626274";"0,147058742";"0,104444301";"0,315160183";"0,197008354";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,421827972";"0,457139313";0;"0,042508652";"0,024577313";"0,156771533";"0,114253384";"0,34038849";"0,211636655";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,536058432";"0,520638204";0;"0,042508652";"0,019721531";"0,140433367";"0,10029557";"0,284693027";"0,192459053";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,506779312";"0,461491576";0;"0,042508652";"0,020966146";"0,144796915";"0,101686692";"0,296079323";"0,194644018";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,4892809";"0,477423792";0;"0,042508652";"0,02170998";"0,14734307";"0,106526948";"0,301354495";"0,200114616";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
UMAP;algoritmos_redutores_dimensionalidade;50;[];"0,514381065";"0,418844991";0;"0,042508652";"0,020643006";"0,143676742";"0,102020672";"0,308487933";"0,192989837";0;0;0;0;"{""nComponents"":50,""vizinhos"":11,""minDist"":0,01}"
LASSO;algoritmos_selecionadores;50;[];"0,580122386";"0,549890818";0;"0,042508652";"0,017848431";"0,133598021";"0,098589534";"0,252003844";"0,189230053";0;0;0;0;"{""alpha"":0,05}"
LASSO;algoritmos_selecionadores;50;[];"0,548283554";"0,518945605";0;"0,042508652";"0,019201857";"0,138570766";"0,103985087";"0,263887177";"0,197555506";0;0;0;0;"{""alpha"":0,05}"
LASSO;algoritmos_selecionadores;50;[];"0,602902747";"0,525982235";0;"0,042508652";"0,016880069";"0,129923319";"0,098956797";"0,265416643";"0,196350391";0;0;0;0;"{""alpha"":0,05}"
LASSO;algoritmos_selecionadores;50;[];"0,543472672";"0,515759515";0;"0,042508652";"0,019406361";"0,139306716";"0,104462563";"0,265171209";"0,198579381";0;0;0;0;"{""alpha"":0,05}"
LASSO;algoritmos_selecionadores;50;[];"0,507670181";"0,496299504";0;"0,042508652";"0,020928277";"0,144666087";"0,110553303";"0,293983312";"0,213585164";0;0;0;0;"{""alpha"":0,05}"
